2019-01-06 21:57:02,성민재,jeonbuk,32341006763033641810,100.101.192.28,kr
2019-01-06 21:57:04,장산새,busan,70260488257744620321,100.102.191.170,kr
2019-01-06 21:57:14,홍혜연,shinhan,26145630548353203064,100.102.31.33,kr
2019-01-06 21:56:58,채예지,kookmin,32341615607528386455,100.105.204.219,kr
2019-01-06 21:57:12,추지민,nh,53085373304058380741,100.107.240.176,kr
2019-01-06 21:57:18,심영,jeonbuk,22042785548607758714,100.108.176.29,kr
2019-01-06 21:57:02,진대경,daegu,44821500766668206557,100.11.7.134,kr
2019-01-06 21:57:26,장달수,ibk,34041233246001224861,100.116.235.128,kr
2019-01-06 21:57:08,권옥자,woori,34551531070438870638,100.12.30.208,kr
2019-01-06 21:57:00,원우석,gwangju,70880228327568748571,100.120.95.77,kr
2019-01-06 21:57:14,강영롱,citi,10070885682114377025,100.123.13.73,kr
2019-01-06 21:56:58,서은민,woori,32762546834274114451,100.124.185.167,kr
2019-01-06 21:57:06,권서윤,daegu,57674573860676625680,100.124.41.75,kr
2019-01-06 21:57:18,방홍빈,nh,70423346730851685023,100.126.165.43,kr
2019-01-06 21:57:22,허진호,nh,35854024157178087570,100.130.28.154,kr
2019-01-06 21:57:18,하혜은,gyungnam,33786873045630722875,100.133.246.41,kr
2019-01-06 21:57:16,탁휘재,woori,77368080284615785861,100.137.43.112,kr
2019-01-06 21:57:22,송준탁,nh,62080368183531317817,100.14.155.103,kr
2019-01-06 21:57:24,송관우,citi,38641070478407384451,100.14.183.75,kr
2019-01-06 21:57:14,서성준,sc,43614420370778821617,100.140.184.104,kr
2019-01-06 21:57:18,소주엽,gwangju,51685701286860512657,100.140.36.125,kr
2019-01-06 21:57:04,한하준,jeju,33521523411061307706,100.142.160.208,kr
2019-01-06 21:57:22,진규림,woori,73003671428500053852,100.142.30.221,kr
2019-01-06 21:57:12,강요환,kookmin,15165517747783804584,100.144.30.50,kr
2019-01-06 21:57:24,조해인,kookmin,83706864612471205377,100.144.53.242,kr
2019-01-06 21:57:22,남궁세훈,daegu,63466354703742132585,100.144.67.157,kr
2019-01-06 21:57:08,구현아,jeju,11523545867460045618,100.146.65.125,kr
2019-01-06 21:57:14,주주재,busan,78063110331246120664,100.147.244.109,kr
